DATE,CPIAUCNS_NBD20210101
1913-01-01,3.64739
1914-01-01,3.69660
1915-01-01,3.73043
1916-01-01,4.01644
1917-01-01,4.73300
1918-01-01,5.55105
1919-01-01,6.39678
1920-01-01,7.39627
1921-01-01,6.58745
1922-01-01,6.18150
1923-01-01,6.29222
1924-01-01,6.31989
1925-01-01,6.47366
1926-01-01,6.53209
1927-01-01,6.40600
1928-01-01,6.33220
1929-01-01,6.33220
1930-01-01,6.16305
1931-01-01,5.61256
1932-01-01,5.03439
1933-01-01,4.77298
1934-01-01,4.93905
1935-01-01,5.06514
1936-01-01,5.11742
1937-01-01,5.30810
1938-01-01,5.20046
1939-01-01,5.13280
1940-01-01,5.16970
1941-01-01,5.43419
1942-01-01,6.02773
1943-01-01,6.38755
1944-01-01,6.49211
1945-01-01,6.63973
1946-01-01,7.20253
1947-01-01,8.23893
1948-01-01,8.87245
1949-01-01,8.78634
1950-01-01,8.88168
1951-01-01,9.57979
1952-01-01,9.79814
1953-01-01,9.87810
1954-01-01,9.90886
1955-01-01,9.88118
1956-01-01,10.03187
1957-01-01,10.36709
1958-01-01,10.65002
1959-01-01,10.75766
1960-01-01,10.91450
1961-01-01,11.03137
1962-01-01,11.16361
1963-01-01,11.30200
1964-01-01,11.44654
1965-01-01,11.62799
1966-01-01,11.97858
1967-01-01,12.31072
1968-01-01,12.83661
1969-01-01,13.53780
1970-01-01,14.32817
1971-01-01,14.94324
1972-01-01,15.43223
1973-01-01,16.38559
1974-01-01,18.19699
1975-01-01,19.86077
1976-01-01,21.00173
1977-01-01,22.36720
1978-01-01,24.07403
1979-01-01,26.78343
1980-01-01,30.41237
1981-01-01,33.55541
1982-01-01,35.61283
1983-01-01,36.75687
1984-01-01,38.33761
1985-01-01,39.69693
1986-01-01,40.45039
1987-01-01,41.93272
1988-01-01,43.64263
1989-01-01,45.74926
1990-01-01,48.21879
1991-01-01,50.26084
1992-01-01,51.78315
1993-01-01,53.31161
1994-01-01,54.70168
1995-01-01,56.23629
1996-01-01,57.88469
1997-01-01,59.23785
1998-01-01,60.15739
1999-01-01,61.47365
2000-01-01,63.54953
2001-01-01,65.34555
2002-01-01,66.38195
2003-01-01,67.88888
2004-01-01,69.70643
2005-01-01,72.07139
2006-01-01,74.39637
2007-01-01,76.51866
2008-01-01,79.45629
2009-01-01,79.17378
2010-01-01,80.47227
2011-01-01,83.01265
2012-01-01,84.73046
2013-01-01,85.97162
2014-01-01,87.36627
2015-01-01,87.46991
2016-01-01,88.57342
2017-01-01,90.46013
2018-01-01,92.66969
2019-01-01,94.34906
2020-01-01,95.51294
2021-01-01,100.00000
2022-01-01,.
